Date,Price,Open,High,Low,Vol.,Change %
"May 22, 2016",11.98,14.06,14.51,10.38,2.42M,-14.43%
"May 15, 2016",14.00,10.25,14.89,9.93,2.20M,37.80%
"May 08, 2016",10.16,9.41,11.11,9.00,744.33K,8.66%
"May 01, 2016",9.35,8.74,10.30,8.35,756.64K,5.41%
"Apr 24, 2016",8.87,8.35,9.36,7.12,867.38K,4.85%
"Apr 17, 2016",8.46,8.70,10.90,7.73,569.35K,-0.94%
"Apr 10, 2016",8.54,9.15,9.43,6.86,534.18K,-6.67%
"Apr 03, 2016",9.15,11.61,11.76,9.00,292.70K,-21.19%
"Mar 27, 2016",11.61,10.93,12.30,10.17,284.70K,5.55%
"Mar 20, 2016",11.00,10.55,12.47,9.56,279.69K,6.69%
"Mar 13, 2016",10.31,12.92,15.07,8.34,466.81K,-20.20%
